Titles,ShelterName,Provider,Facility,DHS Building ID,Facility Type,Borough,Landlord,Open Violations,New Violations,Closed Violations,Total Open Violations ,location,latitude,longitude
"Magnolia House, CAMBA, Adult Shelter",Magnolia House, CAMBA, Adult Shelter,1008.0,Adult Shelter,Brooklyn,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.677014 'lng': -73.90629},40.677014,-73.90629
"Myrtle Avenue Men's Shelter, Samaritan Daytop Village, Adult Shelter",Myrtle Avenue Men's Shelter, Samaritan Daytop Village, Adult Shelter,1020.0,Adult Shelter,Brooklyn,X ATLANTIC HOLDING,0.0,0.0,0.0,0.0,{'lat': 40.699841 'lng': -73.908683},40.699841,-73.908683
"HARRY'S PLACE, Acacia Network Housing, Adult Shelter",HARRY'S PLACE, Acacia Network Housing, Adult Shelter,1657.0,Adult Shelter,Brooklyn,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.64058470000001 'lng': -73.9487716},40.6405847,-73.9487716
"Lexington Shelter, Bowery Residents Committee Inc., Adult Shelter",Lexington Shelter, Bowery Residents Committee Inc., Adult Shelter,1022.0,Adult Shelter,Brooklyn,X HERKIMER STREET DEVELOPMENT LLC ,0.0,2.0,1.0,1.0,{'lat': 40.7398844 'lng': -73.9844688},40.7398844,-73.9844688
"Tillary Women's Shelter, Institute For Community Living Adult Shelter // Opportunity House // CAMBA, Adult Shelter",Tillary Women's Shelter, Institute For Community Living Adult Shelter // Opportunity House // CAMBA, Adult Shelter,35598.0,Adult Shelter,Brooklyn,MYRTLE AVE FAMILY CENTER,0.0,4.0,4.0,0.0,{'lat': 40.6957414 'lng': -73.9821314},40.6957414,-73.9821314
"Rising Up Men's Shelter, CAMBA, Adult Shelter",Rising Up Men's Shelter, CAMBA, Adult Shelter,35594.0,Adult Shelter,Brooklyn,MARC-SCOT MEATS INC,1.0,2.0,1.0,2.0,{'lat': 40.6757999 'lng': -73.90520269999999},40.6757999,-73.9052027
"xx YMCA Annex, Samaritan Daytop Village, Adult Shelter",xx YMCA Annex, Samaritan Daytop Village, Adult Shelter,1002.0,Adult Shelter,Brooklyn,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.711226 'lng': -73.959969},40.711226,-73.959969
"Porter Ave Shelter, The Doe Fund, Adult Shelter",Porter Ave Shelter, The Doe Fund, Adult Shelter,1024.0,Adult Shelter,Brooklyn,X TILLARY REAL ESTATE HOLDGING ,3.0,6.0,2.0,7.0,{'lat': 40.7082858 'lng': -73.9290261},40.7082858,-73.9290261
"Dekalb Men's Shelter, NAICA, Adult Shelter",Dekalb Men's Shelter, NAICA, Adult Shelter,507971.0,Adult Shelter,Brooklyn,"X AN ST, LLC",0.0,0.0,0.0,0.0,{'lat': 40.6757999 'lng': -73.90520269999999},40.6757999,-73.9052027
"Help Women's Center-TLC, HELP Women's Center HELP USA, Adult Shelter",Help Women's Center-TLC, HELP Women's Center HELP USA, Adult Shelter,495360.0,Adult Shelter,Brooklyn,YMCA OF GREATER N Y,0.0,0.0,0.0,0.0,{'lat': 40.6731756 'lng': -73.9003875},40.6731756,-73.9003875
"LINDEN WOMEN'S SHELTER, Samaritan Daytop Village, Adult Shelter",LINDEN WOMEN'S SHELTER, Samaritan Daytop Village, Adult Shelter,1629.0,Adult Shelter,Brooklyn,PORTER AVENUE HOUSING DEVELOPMENT F,5.0,1.0,1.0,5.0,{'lat': 40.6579989 'lng': -73.896167},40.6579989,-73.896167
"Forbell Men's Shelter, Samaritan Daytop Village, Adult Shelter",Forbell Men's Shelter, Samaritan Daytop Village, Adult Shelter,494080.0,Adult Shelter,Brooklyn,D H NY INC,1.0,0.0,0.0,1.0,{'lat': 40.6710135 'lng': -73.8622284},40.6710135,-73.8622284
"Eldert Lane Shelter, Institute For Community Living, Adult Shelter",Eldert Lane Shelter, Institute For Community Living, Adult Shelter,546304.0,Adult Shelter,Brooklyn,NYC Owned (DHS),0.0,12.0,12.0,0.0,{'lat': 40.675806 'lng': -73.8643762},40.675806,-73.8643762
"Forbell Men's Shelter, Samaritan Daytop Village, Adult Shelter",Forbell Men's Shelter, Samaritan Daytop Village, Adult Shelter,567553.0,Adult Shelter,Brooklyn,NYC Owned (DHS),2.0,2.0,0.0,4.0,{'lat': 40.6710135 'lng': -73.8622284},40.6710135,-73.8622284
"Van Siclen Shelter, Samaritan Daytop Village, Adult Shelter",Van Siclen Shelter, Samaritan Daytop Village, Adult Shelter,1013.0,Adult Shelter,Brooklyn,YMCA OF GREATER N Y,0.0,0.0,0.0,0.0,{'lat': 40.6623387 'lng': -73.8870151},40.6623387,-73.8870151
"Kenilworth, Children's Rescue Fund LLC, Adult Shelter",Kenilworth, Children's Rescue Fund LLC, Adult Shelter,210719.0,Adult Shelter,Brooklyn,X ELDERT REALTY LLC,1.0,10.0,10.0,1.0,{'lat': 40.6340351 'lng': -73.9502333},40.6340351,-73.9502333
"East Williamsburg Men's Shelter, Project Renewal, Adult Shelter",East Williamsburg Men's Shelter, Project Renewal, Adult Shelter,1012.0,Adult Shelter,Brooklyn,NYS Owned,0.0,8.0,6.0,2.0,{'lat': 40.7042995 'lng': -73.9339155},40.7042995,-73.9339155
"CAMBA/Broadway House, CAMBA, Adult Shelter",CAMBA/Broadway House, CAMBA, Adult Shelter,1027.0,Adult Shelter,Brooklyn,X VAN SICLEN ASSOCIATES LLC,1.0,0.0,0.0,1.0,{'lat': 40.691556 'lng': -73.9252142},40.691556,-73.9252142
"Salim House, Black Veterans for Social Justice, Adult Shelter",Salim House, Black Veterans for Social Justice, Adult Shelter,523008.0,Adult Shelter,Brooklyn,NEW X DEV LLC,5.0,9.0,0.0,14.0,{'lat': 40.6434345 'lng': -73.9701966},40.6434345,-73.9701966
"Renaissance Men's Shelter, SERVICES FOR THE UNDERSERVED, Adult Shelter",Renaissance Men's Shelter, SERVICES FOR THE UNDERSERVED, Adult Shelter,109568.0,Adult Shelter,Brooklyn,X VARET LLC,0.0,0.0,0.0,0.0,{'lat': 40.6757999 'lng': -73.90520269999999},40.6757999,-73.9052027
"New Beginnings Men’s Shelter, African American Planning Commission, Adult Shelter",New Beginnings Men’s Shelter, African American Planning Commission, Adult Shelter,1006.0,Adult Shelter,Brooklyn,"X BROADWAY REALTY, LLC",0.0,0.0,0.0,0.0,{'lat': 40.6757999 'lng': -73.90520269999999},40.6757999,-73.9052027
"BRC Men's Assessment Shelter, Bowery Residents Committee Inc., Adult Shelter",BRC Men's Assessment Shelter, Bowery Residents Committee Inc., Adult Shelter,218881.0,Adult Shelter,Brooklyn,HALPERTS HOLDINGS LLC,0.0,2.0,2.0,0.0,{'lat': 40.6781784 'lng': -73.9441579},40.6781784,-73.9441579
"Barbara S. Kleiman Residence, NYC Department Of Homeless Services, Adult Shelter",Barbara S. Kleiman Residence, NYC Department Of Homeless Services, Adult Shelter,1017.0,Adult Shelter,Brooklyn,X RALPH AVENUE DEVELOPMENT LLC ,1.0,0.0,1.0,0.0,{'lat': 40.716792 'lng': -73.9390529},40.716792,-73.9390529
"Kingsboro MICA Men's Shelter, Salvation Army // East Flatbush Safe Haven // Breaking Ground Safe Haven // Kingsboro STAR // NYC Department Of Homeless Services, Adult Shelter",Kingsboro MICA Men's Shelter, Salvation Army // East Flatbush Safe Haven // Breaking Ground Safe Haven // Kingsboro STAR // NYC Department Of Homeless Services, Adult Shelter,552706.0,Adult Shelter,Brooklyn,NXT GNRTN FLTN LLC,0.0,8.0,0.0,8.0,{'lat': 40.6566874 'lng': -73.9454562},40.6566874,-73.9454562
"Clermont Residence, Samaritan Daytop Village, Adult Shelter",Clermont Residence, Samaritan Daytop Village, Adult Shelter,35584.0,Adult Shelter,Brooklyn,X MC CGUINNESS BOULEVARD LLC ,1.0,0.0,0.0,1.0,{'lat': 40.6781784 'lng': -73.9441579},40.6781784,-73.9441579
"Blake Avenue, SERVICES FOR THE UNDERSERVED, Adult Shelter",Blake Avenue, SERVICES FOR THE UNDERSERVED, Adult Shelter,1004.0,Adult Shelter,Brooklyn,NYC Owned (DHS),4.0,0.0,0.0,4.0,{'lat': 40.6679982 'lng': -73.8938472},40.6679982,-73.8938472
"Gates Ave Men's Shelter, The Doe Fund, Adult Shelter",Gates Ave Men's Shelter, The Doe Fund, Adult Shelter,1018.0,Adult Shelter,Brooklyn,NYS Owned,0.0,0.0,0.0,0.0,{'lat': 40.6886165 'lng': -73.9297853},40.6886165,-73.9297853
"Two Bridges, Institute For Community Living, Adult Shelter",Two Bridges, Institute For Community Living, Adult Shelter,69405.0,Adult Shelter,Brooklyn,CLERMONT PARK ASSOCIATES LLC,0.0,0.0,0.0,0.0,{'lat': 40.7107469 'lng': -73.99696},40.7107469,-73.99696
"xxx EAST xRD STREET, Henry Street Settlement, Adult Shelter",xxx EAST xRD STREET, Henry Street Settlement, Adult Shelter,35585.0,Adult Shelter,Brooklyn,BLAKE HOLDINGS LLC,0.0,0.0,0.0,0.0,{'lat': 40.6625916 'lng': -73.9652218},40.6625916,-73.9652218
"George Daly House Shelter, Ny Foundation For Senior Citizens, Adult Shelter",George Daly House Shelter, Ny Foundation For Senior Citizens, Adult Shelter,1021.0,Adult Shelter,Brooklyn,PAUL J. COOPER CENTER FOR HUMAN SER,1.0,0.0,1.0,0.0,{'lat': 40.7228802 'lng': -73.98132319999999},40.7228802,-73.9813232
"BRC Palace, Bowery Residents Committee Inc., Adult Shelter",BRC Palace, Bowery Residents Committee Inc., Adult Shelter,223511.0,Adult Shelter,Manhattan,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.7251397 'lng': -73.99188079999999},40.7251397,-73.9918808
"x E. xrd St Shelter, Project Renewal, Adult Shelter",x E. xrd St Shelter, Project Renewal, Adult Shelter,1651.0,Adult Shelter,Manhattan,NYC Owned (DHS),0.0,1.0,0.0,1.0,{'lat': 40.7254847 'lng': -73.9952172},40.7254847,-73.9952172
"BRC Reception, Bowery Residents Committee Inc. // Safe Haven // Jack Ryan Residence // Bowery Residents Committee Inc., Adult Shelter",BRC Reception, Bowery Residents Committee Inc. // Safe Haven // Jack Ryan Residence // Bowery Residents Committee Inc., Adult Shelter,1620.0,Adult Shelter,Manhattan,NYC Owned (DCAS),0.0,0.0,0.0,0.0,{'lat': 40.7449235 'lng': -73.9931127},40.7449235,-73.9931127
"Park Savoy Rapid Re-Housing Center, Westhab Inc, Adult Shelter",Park Savoy Rapid Re-Housing Center, Westhab Inc, Adult Shelter,1659.0,Adult Shelter,Manhattan,"G F ASSOCIATES 1, LP",0.0,0.0,0.0,0.0,{'lat': 40.76567259999999 'lng': -73.978792},40.7656726,-73.978792
